City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lata,40.1629,-8.3327,50,66,40,12.66,,1612663709
hobart,-42.8794,147.3294,66,63,75,17.27,,1612663379
phatthalung,7.5,100.0833,80.6,69,20,9.69,,1612663710
dunedin,-45.8742,170.5036,61,77,0,28.99,,1612663286
longyearbyen,78.2186,15.6401,15.8,79,75,13.8,,1612663423
dinar,38.065,30.1656,33.8,86,0,4.72,,1612663652
saskylakh,71.9167,114.0833,-42,78,24,7.58,,1612663257
tumannyy,,,,,,,,
vaini,-21.2,-175.2,84.2,84,75,9.22,,1612663264
port elizabeth,-33.918,25.5701,63,90,4,13.22,,1612663249
bojonegoro,-7.1502,111.8817,82.8,79,23,9.17,,1612663711
iwanai,42.9744,140.5089,28.18,90,100,12.53,,1612663711
itarema,-2.9248,-39.9167,77.97,84,28,9.48,,1612663304
nanakuli,21.3906,-158.1547,78.8,41,1,14.97,,1612663712
hofn,64.2539,-15.2082,32.36,92,91,19.08,,1612663712
hermanus,-34.4187,19.2345,66.99,94,98,4.76,,1612663390
cape town,-33.9258,18.4232,70,83,20,11.5,,1612663023
alunitdag,,,,,,,,
vestmanna,62.1564,-7.1664,35.6,60,40,17.27,,1612663423
port macquarie,-31.4333,152.9167,86,50,100,1.99,,1612663713
sabang,5.8933,95.3214,82.54,75,13,18.12,,1612663713
narsaq,60.9167,-46.05,42.8,39,75,20.71,,1612663329
nogliki,51.8333,143.1667,1.67,90,100,14.09,,1612663714
thompson,55.7435,-97.8558,-27.4,68,40,12.66,,1612663386
marsa matruh,31.3525,27.2453,48.2,87,0,6.91,,1612663354
puerto ayacucho,5.6639,-67.6236,81.55,61,100,5.53,,1612663714
lovozero,68.005,35.0117,17.49,96,100,11.12,,1612663715
kuryk,43.2,51.65,37.42,75,31,8.32,,1612663715
cidreira,-30.1811,-50.2056,67.48,77,10,5.3,,1612663451
busselton,-33.65,115.3333,62.01,95,100,3,,1612663231
champerico,14.3,-91.9167,64,93,0,7.18,,1612663301
cabo san lucas,22.8909,-109.9124,69.8,60,20,8.05,,1612663296
turkistan,43,68,39.06,86,100,4.72,,1612663716
komsomolskiy,40.4272,71.7189,41,56,100,4.61,,1612663716
codrington,-38.2667,141.9667,61.11,65,100,12.26,,1612663381
tautira,-17.7333,-149.15,86,62,20,11.5,,1612663463
faanui,-16.4833,-151.75,83.08,65,0,10.07,,1612663290
torbay,47.6666,-52.7314,42.8,93,75,24.16,,1612663523
partapur,23.6,74.1667,54.57,40,0,7.52,,1612663717
misratah,32.3754,15.0925,66.88,33,99,14.63,,1612663546
college,64.8569,-147.8028,-5.01,77,90,1.32,,1612663191
cap malheureux,-19.9842,57.6142,75,86,2,3,,1612663266
majene,-3.5403,118.9707,85.33,66,23,1.68,,1612663631
yellowknife,62.456,-114.3525,-40,74,1,3.44,,1612663384
tsihombe,,,,,,,,
severo-kurilsk,50.6789,156.125,22.71,93,93,21.92,,1612663435
saint george,37.1041,-113.5841,51.8,25,1,6.91,,1612663261
souillac,-20.5167,57.5167,75,86,6,3,,1612663355
dingle,10.9995,122.6711,81.48,81,79,15.01,,1612663311
murdochville,48.9583,-65.5006,24.8,86,39,19.57,,1612663719
sitka,57.0531,-135.33,32,55,20,5.75,,1612663410
portland,45.5234,-122.6762,46.99,87,90,5.75,,1612663340
gimli,50.6336,-96.9907,-20.2,63,1,4.61,,1612663483
srednekolymsk,67.45,153.6833,-13.18,84,0,1.61,,1612663127
hobyo,5.3505,48.5268,76.66,79,59,15.84,,1612663720
nanortalik,60.1432,-45.2371,24.98,88,100,9.28,,1612663277
mayna,54.1135,47.6231,-8.84,90,100,14.18,,1612663721
touros,-5.1989,-35.4608,77,83,20,3.44,,1612663721
isangel,-19.55,169.2667,86,79,20,5.75,,1612663338
upernavik,72.7868,-56.1549,18.97,75,0,4.59,,1612663385
khatanga,71.9667,102.5,-35.28,78,0,8.55,,1612663295
lolua,,,,,,,,
rio gallegos,-51.6226,-69.2181,53.65,54,43,5.35,,1612663722
corinth,37.9407,22.9573,53.01,81,0,3,,1612663722
da nang,16.0678,108.2208,71.6,94,75,3.44,,1612663696
tuggurt,,,,,,,,
nikolskoye,59.7035,30.7861,10.4,85,75,15.66,,1612663419
tomatlan,19.9333,-105.25,67.59,91,0,2.77,,1612663236
mar del plata,-38.0023,-57.5575,64,77,20,11.5,,1612663274
totoral,-17.4053,-70.365,62.71,74,100,5.26,,1612663723
klaksvik,62.2266,-6.589,35.6,60,40,17.27,,1612663326
brownwood,31.7093,-98.9912,46.4,53,40,3.44,,1612663586
ghatanji,20.1333,78.3167,57.69,36,12,8.41,,1612663724
sibolga,1.7427,98.7792,83.26,62,43,1.28,,1612663432
jamestown,42.097,-79.2353,17.6,53,1,6.91,,1612663286
abu dhabi,24.4667,54.3667,66.2,48,0,9.22,,1612663680
altay,47.8667,88.1167,21.63,86,0,3.2,,1612663725
portsmouth,50.799,-1.0913,41,94,100,21.14,,1612663725
borzya,50.3833,116.5167,-7.98,89,100,1.07,,1612663725
lubango,-14.9172,13.4925,64.63,52,100,1.97,,1612663725
orlik,52.5178,99.825,-2.24,83,5,2.3,,1612663726
qaanaaq,77.484,-69.3632,10.69,87,100,7.56,,1612663417
vao,-22.6667,167.4833,78.03,80,0,5.46,,1612663261
kualakapuas,-3.0091,114.3876,80.6,89,40,4.61,,1612663726
alice springs,-23.7,133.8833,87.01,25,4,17.27,,1612663303
ixtapa,20.7,-105.2,72,83,40,5.75,,1612663483
cuamba,-14.8031,36.5372,69.21,96,100,0.85,,1612663727
port augusta,-32.5,137.7667,77,60,75,16.11,,1612663336
saldanha,-33.0117,17.9442,64.4,88,22,6.91,,1612663057
saint-philippe,-21.3585,55.7679,78.8,69,40,6.91,,1612663372
yanam,16.7333,82.2167,68,88,86,9.22,,1612663483
illoqqortoormiut,,,,,,,,
butaritari,3.0707,172.7902,80.98,81,71,20.78,,1612663387
beringovskiy,63.05,179.3167,-7.47,90,61,12.1,,1612663728
cam ranh,11.9214,109.1591,77,69,75,9.22,,1612663631
norman wells,65.282,-126.8329,-27.4,68,75,2.3,,1612663332
husavik,66.0449,-17.3389,33.8,69,75,5.75,,1612663729
cayenne,4.9333,-52.3333,77,100,75,3.44,,1612663729
palmer,42.1584,-72.3287,26.01,68,40,3.2,,1612663729
sydney,-33.8679,151.2073,81,68,69,5.01,,1612663676
bose,45.4612,8.0137,46,93,100,5.61,,1612663730
comodoro rivadavia,-45.8667,-67.5,55.4,71,40,8.05,,1612663601
bethel,41.3712,-73.414,35.01,59,1,4.74,,1612662990
ancud,-41.8697,-73.8203,62.6,45,0,10.36,,1612663442
bodden town,19.2833,-81.25,80.6,78,20,9.22,,1612663731
brejo santo,-7.4933,-38.9872,75.38,45,7,5.03,,1612663731
dzaoudzi,-12.7887,45.2699,80.6,83,90,10.36,,1612663487
bambous virieux,-20.3428,57.7575,75,86,3,3,,1612663264
castro,-24.7911,-50.0119,61.34,92,44,10.78,,1612663248
port hedland,-20.3167,118.5667,87.8,51,40,11.5,,1612663437
nemuro,43.3236,145.575,21.9,96,100,16.17,,1612663280
rosignol,6.2833,-57.5333,76.19,85,100,7.67,,1612663732
mehamn,71.0357,27.8492,25.68,94,100,22.28,,1612663732
tuatapere,-46.1333,167.6833,71.83,47,10,6.04,,1612663136
geraldton,-28.7667,114.6,73.4,78,75,23.02,,1612663490
cumaribo,,,,,,,,
sovetskiy,61.3614,63.5842,-10.84,90,100,13.47,,1612663733
tasiilaq,65.6145,-37.6368,32,59,82,27.63,,1612663419
causapscal,48.3542,-67.227,16.52,91,16,11.18,,1612663734
esperance,-33.8667,121.9,60.8,94,75,12.66,,1612663276
vaitupu,,,,,,,,
mahebourg,-20.4081,57.7,75,86,4,3,,1612663431
berlevag,70.8578,29.0864,26.29,95,100,26.44,,1612663392
mecca,21.4267,39.8261,64.4,59,0,5.06,,1612663735
hede,33.7681,120.2517,54.14,52,0,9.57,,1612663479
katsuura,35.1333,140.3,57,66,20,5.75,,1612663282
yekimovichi,54.1129,33.2965,-4.32,92,75,7.87,,1612663735
ponta do sol,32.6667,-17.1,54,66,23,5.99,,1612663253
myrtle beach,33.6891,-78.8867,45,70,90,8.05,,1612663736
sao filipe,14.8961,-24.4956,69.31,74,18,14.97,,1612663035
namatanai,-3.6667,152.4333,86.16,63,86,6.6,,1612663388
bulgan,48.8125,103.5347,5.72,85,0,2.84,,1612663736
airai,-8.9266,125.4092,72.81,74,72,5.39,,1612663291
haines junction,60.7522,-137.5108,-14.8,70,52,0.31,,1612663737
huambo,-12.7761,15.7392,62.28,84,99,0.96,,1612663511
carnarvon,-24.8667,113.6333,86,100,62,10.36,,1612663427
hasaki,35.7333,140.8333,57,50,20,5.75,,1612663430
salalah,17.0151,54.0924,73.4,68,75,2.3,,1612663218
sayyan,15.1718,44.3244,45.48,69,0,4.07,,1612663738
barentsburg,,,,,,,,
tshikapa,-6.4167,20.8,70.38,91,100,0.94,,1612663738
flic en flac,-20.2742,57.3631,75,86,1,3,,1612663738
provideniya,64.3833,-173.3,1.45,87,2,7.23,,1612663380
methoni,36.8197,21.7049,54,100,91,4.76,,1612663739
umea,63.8284,20.2597,6.8,92,0,6.91,,1612663683
abha,18.2164,42.5053,46.4,87,40,0.58,,1612663047
maralal,1.0968,36.698,56.84,84,1,3.69,,1612663739
namibe,-15.1961,12.1522,70.39,80,67,5.32,,1612663740
bougouni,11.417,-7.479,78.46,17,14,7.27,,1612663740
san patricio,28.017,-97.5169,64.4,55,1,3.44,,1612663121
neuquen,-38.9516,-68.0591,78.8,61,0,9.69,,1612663345
haibowan,,,,,,,,
san ramon,37.7799,-121.978,64.4,25,1,8.05,,1612663076
sivas,39.7916,37.0019,24.8,93,0,6.91,,1612663741
okhotsk,59.3833,143.3,3.43,86,100,21.81,,1612663741
lavrentiya,65.5833,-171,-11.04,80,0,1.01,,1612663243
sorvag,,,,,,,,
grand river south east,,,,,,,,
lahaina,20.8783,-156.6825,78.8,50,40,11.5,,1612663207
kodiak,57.79,-152.4072,35.6,64,1,5.75,,1612663444
polewali,-3.4324,119.3435,85.95,63,98,2.46,,1612663742
aklavik,68.2191,-135.0107,-16.6,76,100,4.61,,1612663472
puerto madryn,-42.7692,-65.0385,58.98,70,88,19.98,,1612663369
batagay-alyta,67.8006,130.4114,-25.87,83,100,1.61,,1612663440
hazaribag,23.9833,85.35,54.23,66,0,4.07,,1612663743
nelson bay,-32.7167,152.15,81,44,40,14.97,,1612663743
minudasht,37.2289,55.3747,56.23,57,100,4.56,,1612663744
arraial do cabo,-22.9661,-42.0278,75.13,83,100,4.81,,1612663274
erzin,36.9559,36.2,53.01,92,5,4,,1612663365
muncar,-8.4333,114.3333,83.8,72,42,2.89,,1612663744
san vicente,-26.6167,-54.1333,58.01,93,0,3.6,,1612663744
yakeshi,49.2833,120.7333,-12.8,88,91,3.94,,1612663745
clyde river,70.4692,-68.5914,-7.6,77,90,2.3,,1612663280
waipawa,-41.4122,175.5153,66.99,63,89,8.05,,1612663745
bichura,50.5881,107.6022,4.44,88,91,2.8,,1612663745
bredasdorp,-34.5322,20.0403,66.2,88,98,3.44,,1612663386
bengkulu,-3.8004,102.2655,83.34,63,84,4.12,,1612663425
ipixuna,-1.7625,-48.8043,78.8,89,0,5.75,,1612663746
rosetta,31.4044,30.4164,55.4,94,0,3.44,,1612663746
yunjinghong,,,,,,,,
lebu,-37.6167,-73.65,57.81,93,24,1.86,,1612663421
lagoa,39.05,-27.9833,59.99,92,100,26.64,,1612663747
belushya guba,,,,,,,,
jingdezhen,29.2947,117.2079,57.96,68,77,2.46,,1612663549
fortuna,40.5982,-124.1573,48.99,87,90,10.36,,1612663273
vanderhoof,54.0166,-124.0198,2.48,91,100,3.8,,1612663748
kazalinsk,,,,,,,,
kovdor,67.5662,30.4758,17.02,96,100,10.98,,1612663748
porto de moz,-1.7483,-52.2383,77.23,80,0,3.6,,1612663748
tidore,,,,,,,,
kutum,14.2,24.6667,46.58,52,0,8.37,,1612663749
hastings,50.8552,0.5729,37,87,100,7,,1612663749
roebourne,-20.7833,117.1333,83.68,46,0,9.01,,1612663749
mount gambier,-37.8333,140.7667,62.6,59,90,13.8,,1612663749
panjab,34.388,67.0233,21.4,84,6,2.3,,1612663750
novaya igirma,57.1334,103.9112,13.06,95,100,8.75,,1612663750
te anau,-45.4167,167.7167,75.51,39,0,6.08,,1612663307
aksarka,66.5606,67.7975,-33.57,82,100,22.01,,1612663750
sinnamary,5.3833,-52.95,77.22,87,98,13.56,,1612663751
pangnirtung,66.1451,-65.7125,23.5,80,76,3.53,,1612663355
puli,23.9664,120.9695,64.4,88,20,2.3,,1612663751
kabinda,-6.1333,24.4833,68.34,97,100,1.95,,1612663751
ust-maya,60.4167,134.5333,-22.49,84,96,0.85,,1612663751
antofagasta,-23.65,-70.4,68,73,75,6.91,,1612663643
taft,31.7471,54.2088,44.6,53,0,2.3,,1612663752
lorengau,-2.0226,147.2712,86.38,66,100,5.55,,1612663433
acapulco,16.8634,-99.8901,80.6,74,1,4.61,,1612663687
chapais,49.7834,-74.8492,12.2,79,40,11.5,,1612663752
halalo,,,,,,,,
stoyba,,,,,,,,
ambanja,-13.6833,48.45,73.58,89,95,3.13,,1612663753
okha,53.5739,142.9478,2.98,93,100,8.75,,1612663753
muros,42.7762,-9.0603,43,93,40,4.61,,1612663753
port hardy,50.6996,-127.4199,42.8,75,75,8.05,,1612663303
basco,20.4487,121.9702,74.55,88,83,22.82,,1612663341
kibaya,-5.3,36.5667,59.18,100,31,0.18,,1612663754
mocambique,,,,,,,,
vestmannaeyjar,63.4427,-20.2734,38.37,76,0,27.38,,1612663755
muzquiz,,,,,,,,
karratha,-20.7377,116.8463,83.03,48,0,9.19,,1612663755
hanstholm,57.1167,8.6167,23,84,0,10,,1612663755
constitucion,-35.3333,-72.4167,57.38,87,32,4.29,,1612663290
chuy,-33.6971,-53.4616,66.79,88,0,8.7,,1612663244
formoso do araguaia,,,,,,,,
saint anthony,45.0205,-93.218,-7.6,59,1,11.5,,1612663360
barawe,,,,,,,,
roald,62.5833,6.1333,26.6,63,0,16.11,,1612663096
georgetown,5.4112,100.3354,82.4,74,20,8.05,,1612663280
coruripe,-10.1256,-36.1756,77.9,81,82,13.87,,1612663757
adre,13.4667,22.2,54.05,38,36,12.41,,1612663757
yatou,37.15,122.3833,36.73,73,0,19.48,,1612663757
oktyabrskoye,43.0645,44.7417,32,86,86,6.71,,1612663269
salento,4.6375,-75.5703,71.6,73,40,9.22,,1612663758
kyrnasivka,48.5955,28.979,21.99,83,96,8.03,,1612663758
andros,37.8333,24.9333,61,73,99,8.99,,1612663758
oranjemund,-28.55,16.4333,64.89,91,86,16.31,,1612663758
porto belo,-27.1578,-48.5531,73.4,73,0,4.61,,1612663759
jinka,5.65,36.65,67.3,48,61,3.02,,1612663282
havoysund,70.9963,24.6622,27.46,94,100,23.38,,1612663759
vallenar,-28.5708,-70.7581,63.28,66,0,1.86,,1612663527
nouadhibou,20.931,-17.0347,60.8,72,0,16.11,,1612662925
alekseyevka,50.6309,38.6903,6.76,88,99,12.19,,1612663760
santa cruz,-17.8,-63.1667,77,73,23,5.75,,1612663760
seymchan,62.8833,152.4333,-12.41,85,100,3.15,,1612663379
egvekinot,66.3167,-179.1667,-3.95,77,0,6.76,,1612663399
marcona,,,,,,,,
karangampel,-6.4622,108.4519,80.91,81,88,14.7,,1612663761
jacareacanga,-6.2222,-57.7528,74.16,95,100,1.25,,1612663388
leua,48.2156,18.6071,41,92,100,8.99,,1612663761
mys shmidta,,,,,,,,
victoria,22.2855,114.1577,73,70,0,1.01,,1612663378
beira,-19.8436,34.8389,84.2,79,20,5.75,,1612663762
otradnoye,59.7775,30.8181,10.4,85,75,15.66,,1612663762
khoy,38.5504,44.9535,33.57,85,0,1.39,,1612663762
labuhan,-6.8844,112.2051,83.25,77,3,12.88,,1612663762
louisbourg,,,,,,,,
charleston,32.7766,-79.9309,46.4,100,100,8.05,,1612663654
puri,19.8,85.85,64.4,77,0,3.44,,1612663201
marshall,34.3834,-86.3333,39.99,93,90,11.5,,1612663763
port lincoln,-34.7333,135.8667,63.21,67,99,12.35,,1612663283
chernaya kholunitsa,58.8511,51.7154,-7.71,91,100,6.55,,1612663764
bermeo,43.4209,-2.7215,45,93,75,2.3,,1612663764
los mochis,25.7667,-108.9667,64.4,55,20,5.75,,1612663584
guadalupe y calvo,26.1,-106.9667,43.32,58,49,2.1,,1612663346
sao joao da barra,-21.6403,-41.0511,70.72,93,100,14.07,,1612663330
bonthe,7.5264,-12.505,77.45,82,3,4.47,,1612663765
pacific grove,36.6177,-121.9166,55,94,20,4.61,,1612663312
saint-denis,48.9167,2.3333,44.01,93,90,8.05,,1612663765
gat,31.61,34.7642,55,100,0,1.7,,1612663461
nautla,20.2167,-96.7833,72.54,91,5,3.6,,1612663766
jintur,19.6167,76.7,59.85,34,8,7.9,,1612663766
casas grandes,30.3667,-107.95,54,18,0,3.27,,1612663766
biak,-0.9131,122.8766,83.21,63,100,0.81,,1612663478
alugan,12.2188,125.4808,80.96,85,100,14.83,,1612663378
dolbeau,,,,,,,,
tiksi,71.6872,128.8694,-25.76,84,100,5.35,,1612663338
zhezkazgan,47.8043,67.7144,15.19,94,39,15.75,,1612663422
mahibadhoo,3.7833,72.9667,81.3,74,61,12.44,,1612663767
manbij,36.5281,37.9549,35.6,87,0,8.63,,1612663767
sechura,-5.5569,-80.8222,76.6,65,49,13.24,,1612663287
saint-michel-des-saints,46.6834,-73.9159,16,94,91,8.61,,1612663658
opuwo,-18.0607,13.84,70.09,44,91,2.86,,1612663380
tura,25.5198,90.2201,61.7,57,100,0.11,,1612663254
coihaique,-45.5752,-72.0662,68,40,0,19.57,,1612663768
san carlos de bariloche,-41.1456,-71.3082,69.8,32,0,12.66,,1612663769
tarudant,,,,,,,,
pemberton,50.3164,-122.8027,35.6,93,90,2.3,,1612663769
kahului,20.8947,-156.47,78.8,50,40,11.5,,1612663294
saleaula,,,,,,,,
ruzhyn,49.7228,29.2046,14.25,90,97,6.2,,1612663770
aden,12.7794,45.0367,73.62,67,28,2.37,,1612663299
mae hong son,19.3003,97.9685,62.6,94,20,0.49,,1612663770
sheffield,53.383,-1.4659,36,97,100,7,,1612663770
yarmouth,41.7057,-70.2286,39.99,60,1,8.05,,1612663771
polis,35.0367,32.4264,53.6,82,90,8.05,,1612663771
chateaubelair,13.2833,-61.25,76.28,82,100,14.99,,1612663771
taraz,42.9,71.3667,39.2,87,90,4.47,,1612663771
bathsheba,13.2167,-59.5167,77.22,79,97,18.72,,1612663464
northam,51.0333,-4.2167,39.99,88,53,8.01,,1612663772
mango,27.9797,-82.3065,73.4,88,1,6.91,,1612663772
makakilo city,21.3469,-158.0858,78.8,44,1,14.97,,1612663358
mizdah,31.4451,12.9801,60.66,31,100,4.81,,1612663772
kayerkan,69.3497,87.7602,-30.14,76,0,4.29,,1612663773
yar-sale,66.8333,70.8333,-26.19,86,100,16.87,,1612663335
talnakh,69.4865,88.3972,-30.03,73,0,1.54,,1612663773
ericeira,38.9627,-9.4156,52,77,50,13,,1612663773
vilyuysk,63.7553,121.6247,-29.15,84,82,6.87,,1612663113
la ronge,55.1001,-105.2842,-23.8,62,43,5.75,,1612663153
baykit,61.67,96.37,19.04,94,100,6.02,,1612663774
de aar,-30.6497,24.0123,72.01,59,0,7.4,,1612663774
terney,45.0503,136.6092,8.82,83,0,12.66,,1612663774
camacha,33.0833,-16.3333,59,77,40,13.8,,1612663322
lang son,21.8333,106.7333,70.48,49,0,3.83,,1612663775
kaitangata,-46.2817,169.8464,66,75,2,8.99,,1612663437
semnan,35.5729,53.3971,48.49,70,100,2.66,,1612663466
manggar,-2.8833,108.2667,83.37,74,100,11.72,,1612663054
ouango,4.3133,22.5552,66.36,29,0,2.37,,1612663776
rawson,-43.3002,-65.1023,58.26,69,32,19.86,,1612663359
ambulu,-8.345,113.6058,85.08,67,42,0.81,,1612663776
ambilobe,-13.2,49.05,72.72,94,99,2.75,,1612663776
atar,20.5169,-13.0499,57.7,39,47,12.48,,1612663304
meulaboh,4.1363,96.1285,79.41,83,80,4.5,,1612663777
marawi,7.9986,124.2928,80.01,83,74,1.99,,1612663282
umm lajj,25.0213,37.2685,67.75,49,0,18.84,,1612663777
dalaba,10.7,-12.25,64.08,28,87,3.71,,1612663777
rawannawi,,,,,,,,
san policarpo,12.1791,125.5072,81.28,84,100,15.48,,1612663778
hinton,53.4001,-117.5857,-0.4,55,100,8.05,,1612663778
mayo,38.8876,-76.5119,42.8,60,1,3.85,,1612663778
ahipara,-35.1667,173.1667,69.75,63,100,2.64,,1612663124
samana,19.2056,-69.3369,75.34,76,78,10.33,,1612663356
boyolangu,-8.1181,111.8935,82.85,73,28,7.83,,1612663779
kulhudhuffushi,6.6221,73.07,80.89,77,5,8.9,,1612663779
toppenish,46.3774,-120.3087,52,43,1,13.8,,1612663779
aldan,58.6031,125.3894,-14.48,84,97,1.34,,1612663779
gladstone,-23.85,151.25,89.6,51,0,10.36,,1612663780
saint-francois,46.4154,3.9054,46.99,93,90,10.36,,1612663314
saint-pierre,-21.3393,55.4781,78.8,69,40,6.91,,1612663780
alappuzha,9.49,76.3264,77,88,0,5.35,,1612663780
juifang,,,,,,,,
juneau,58.3019,-134.4197,21.2,45,20,8.05,,1612663343
riverton,40.5219,-111.9391,44.6,56,40,16.11,,1612663667
manta,-0.95,-80.7333,78.8,78,0,4.61,,1612663580
huicungo,-7.2833,-76.8,72.48,92,100,1.57,,1612663781
pandan,14.0453,124.1694,81.34,78,66,13.09,,1612663782
robertsport,6.7533,-11.3686,79.93,85,72,4.23,,1612663782
plettenberg bay,-34.0527,23.3716,68.61,73,69,6.58,,1612663256
hambantota,6.1241,81.1185,71.6,100,20,1.14,,1612663782
freeport,40.6576,-73.5832,39,56,1,3.44,,1612663713
puerto escondido,15.85,-97.0667,80.6,74,75,4.61,,1612663385
manaure,11.7751,-72.4445,77.85,69,100,19.1,,1612663783
turbat,26.0023,63.044,52.72,50,0,2.91,,1612663783
moose factory,51.2585,-80.6094,-4,77,90,3.44,,1612663055
port blair,11.6667,92.75,80.98,70,0,9.84,,1612663783
terrace,54.5163,-128.6035,32,93,90,4.61,,1612663784
rio grande,-32.035,-52.0986,66.99,97,0,10.67,,1612663320
helsinge,56.0228,12.1975,21,75,0,5.01,,1612663784
lingao,19.9103,109.6859,72.46,66,0,7.52,,1612663784
charters towers,-20.1,146.2667,88.05,54,100,5.5,,1612663313
akdepe,42.0551,59.3788,37.4,93,90,2.3,,1612663313
abu samrah,35.3029,37.1841,48.7,74,0,4.74,,1612663785
chagda,,,,,,,,
fevralsk,,,,,,,,
nadvoitsy,63.8667,34.3167,12.83,97,99,5.57,,1612663786
lithakia,37.7167,20.8333,46.4,87,59,3.44,,1612663786
ituporanga,-27.4144,-49.6025,66.99,94,2,1.01,,1612663786
sechelt,49.4664,-123.7694,44.01,87,7,1.01,,1612663786
eureka,40.8021,-124.1637,51.01,84,3,4,,1612663786
cardston,49.2,-113.3019,-5.8,77,100,4.61,,1612663787
veraval,20.9,70.3667,68.23,33,0,15.17,,1612663787
bababe,,,,,,,,
ust-tsilma,65.441,52.1498,-33.09,80,95,9.53,,1612663723
uyuni,-20.4597,-66.825,54.41,65,100,14.45,,1612663787
panjakent,39.4952,67.6093,46.4,81,75,4.83,,1612663788
nhulunbuy,-12.2333,136.7667,86,70,75,10.36,,1612663788
sur,22.5667,59.5289,62.17,66,0,6.78,,1612663788
moravsky krumlov,49.0489,16.3117,28.99,93,90,13.8,,1612663788
booue,-0.0921,11.9385,73.53,90,100,1.68,,1612663789
hornepayne,49.2138,-84.7705,-11.16,89,91,5.48,,1612663330
hadejia,12.4498,10.0444,63.09,25,39,8.28,,1612663789
san jose,37.3394,-121.895,62.6,42,40,8.05,,1612663785
cabedelo,-6.9811,-34.8339,78.8,83,20,2.3,,1612663789
menomonie,44.8755,-91.9193,-5.8,64,1,11.5,,1612663790
san cristobal,7.7669,-72.225,66.36,90,100,1.21,,1612663344
coquimbo,-29.9533,-71.3436,60.8,82,0,6.91,,1612663281
benjamin aceval,-24.9667,-57.5667,71.6,78,0,3.44,,1612663790
eydhafushi,5.1033,73.0708,81.48,71,12,11.12,,1612663790
usila,,,,,,,,
